x1,y1,z1,x2,y2,z2
-0.8589277629,0.1216078541,-0.0678156933,-0.1003876786,0.1425220111,-0.0850216982
0.7596781018,1.6708493372,0.3895064434,-0.8410983624,0.7452536875,0.0772495602
1.6178351592,0.6716637124,0.6765417544,-0.0869003373,1.1625059973,0.8221009572
1.8783028207,0.9859423023,1.7565790767,-0.418153016,2.4717648913,0.2344930234
0.8098471709,-0.1152430843,-0.9586951127,-0.1971224589,-1.6947623955,1.3248698703
0.2685557603,1.3379867984,0.2259310501,0.0391933774,-0.4899132368,1.358065421
2.3081041624,-0.1799348825,-0.2335722843,-0.7593299676,1.8440942522,-0.7372868167
0.2828880116,0.5401796864,-1.3322205275,-1.2926664099,0.3675265892,-0.5633731797
1.7522576891,0.2160472821,0.1621277154,0.9506245266,-0.3286957189,-0.0551875444
-0.0858584825,-0.0302080519,-0.2106958364,1.5272555356,2.140810573,-0.1047271725
-0.6649268092,0.9191358271,0.0024365368,2.2523190195,2.0306448638,0.6537487567
-0.5482887328,-0.528565328,-0.8010929133,1.849369629,-0.9049177044,1.9999387
0.9352361915,1.839410687,0.0206282398,0.8336187142,-0.736099554,2.1181425229
-1.0242123078,1.0453900945,0.2043660508,2.4299833117,-0.4799451866,1.5259703198
0.6448471525,-1.4449871864,0.5057187975,1.7358332289,1.0507671717,-0.621228886
0.0793568349,0.5610384576,0.3258027116,3.1969496555,2.3104524686,0.4098656976
0.3767198681,0.6508724004,-0.4163400638,-0.9095124784,3.562148601,0.6558445311
0.4622405132,0.2630678967,0.3606519759,0.9839322651,-1.2435609257,2.1151905092
0.9730281032,-0.0170236541,0.1078012939,-0.9924494245,2.8125156911,0.3117759932
-0.1142699854,-1.0809861499,0.5527839535,2.349425425,0.0354567948,1.783211657
-0.0339408301,-1.3584661724,1.8213335473,-1.6055078405,-0.764543463,0.472856802
0.8113770102,0.4486534327,-0.6988381852,2.6821612242,-0.463534095,0.9184087229
0.1732167621,-1.2130157816,-0.2131157978,2.2266516916,0.1219698813,3.3635786789
1.1305037828,0.9416225259,1.4333031338,-0.77570783,3.1037238733,0.2531213239
0.5534846619,1.187521712,-0.344003528,0.5690309219,-3.078032667,2.0049424545
0.4408051819,1.0721490629,1.1156507032,0.3108492826,3.9472215857,0.725818892
0.1489908379,0.2192557273,1.7759350352,2.3993520613,-2.3010720086,-0.7914144277
-0.4932192574,-0.2394537472,0.5586193474,-1.6604570241,0.5224051647,0.3398002509
-0.4004950759,-0.9884462751,0.8621228869,3.7674787806,2.0939911406,1.4363369223
0.624356936,0.1338177272,0.8978106212,3.0533345917,-0.206807957,-0.6447592864
-1.3471427126,1.6544864786,1.4544028137,-3.3593236819,-0.102937553,1.0625201149
-1.3310904712,1.2712089703,-1.0706190343,3.4373048255,1.9374148209,-0.8846043936
0.5804077522,-1.0810268018,1.3169228524,-3.0761100181,2.1393992981,0.5908380978
1.312281898,-0.4197999969,-1.3261700212,-0.8428503435,2.317317112,-1.7751760161
1.1662510448,-0.4471751797,0.9222156872,3.5000855635,2.0426696667,1.0338677503
0.372976659,0.1184514353,2.5094659205,0.1650855967,-2.8304406231,-0.4510817152
0.3359597935,-0.0223066376,-1.9436927649,-0.3395612683,-1.2961722286,2.8990035648
-0.7912638896,-0.425602184,2.6125820089,-1.7474744854,-0.0602624529,1.5048507431
2.9567934652,-0.4114935903,-0.7915261096,3.561488865,-0.2882155343,-0.1999706229
-1.4463585313,-0.7193853292,1.642170005,1.8353330132,3.9347899983,2.7185015741
0.8023717332,0.3624147022,-0.4007607915,-1.904280866,0.1857083693,-2.3789649391
2.6959463972,0.7438305252,-0.5737413158,-0.9126889599,-0.4959446393,-1.0329530247
-1.8057711501,2.8060588424,-0.3236184447,-2.3782536299,-0.1475277157,1.4231843273
-0.5854437822,-1.5768149172,-0.3153219443,,,
1.7414723431,1.9782950492,1.5107396799,,,
0.0551660442,-0.4857912559,-0.1790718935,,,
0.2189958198,-0.471516165,2.3424491556,,,
1.5694460641,-0.9702005095,0.3738675153,,,
-0.9477134872,0.144654489,1.7482228543,,,
0.2153170497,-1.1554680119,0.6394090139,,,
0.2832746646,-0.7987903215,2.7092355588,,,
-1.0343310105,1.0718545141,-0.6834886072,,,
0.4275675254,-1.6976372442,1.456984461,,,
-0.2965181592,-0.3698290358,2.8391402018,,,
1.7166604706,-2.052036677,1.3360440713,,,
-0.0124001672,-0.4214479192,0.3827584158,,,
1.2531944187,2.4386449692,0.2689278451,,,
-0.9450742833,-0.4589286931,0.0404724393,,,
3.0964768035,0.4650138343,1.1581931147,,,
-0.2872151908,1.7717243766,-0.256698471,,,
1.4511995138,-0.7248724203,-0.2167763944,,,
1.6992221256,2.1764851114,0.5362076063,,,
2.6985067215,-0.3530010375,1.3304227624,,,
-0.0289175063,1.5056927257,2.0702819011,,,
1.2171667627,2.2241795348,-1.3907338399,,,
2.4664681058,0.1607183784,2.9532936338,,,
-0.112577515,2.312967402,-1.9399451602,,,
2.3852063002,-0.4470602219,-0.0039734273,,,
-0.8942263608,-1.6631492377,0.886561343,,,
1.3840003179,0.6684040787,1.1812885291,,,
-0.7690022415,0.0834804524,-1.262085897,,,
1.925618145,0.1340542782,-1.4421244231,,,
-0.2967180195,-1.6404115105,-1.8027500304,,,
-0.7182277691,-0.044665343,1.083032836,,,
0.2087532842,-1.85302061,-0.8566714878,,,
2.5278275737,-0.0552670652,0.4976338113,,,
1.9361555668,0.4330941457,-1.1435822743,,,
-0.7540035598,0.2079788487,-1.7601838495,,,
2.1406309631,-1.1487880381,0.9698357214,,,
0.7798479936,-1.457814943,-0.0611391939,,,
0.5029733811,-0.064439572,-1.5751116183,,,
0.7981841388,-1.0163306583,0.327935337,,,
-0.4012312964,0.7987757924,0.8815620679,,,
-0.75836867,0.0088023246,1.1900765304,,,
0.4476724485,-0.2118134367,-1.3685967466,,,
-0.1884311842,1.8238898383,0.055024574,,,
1.7949769201,-1.1603031081,1.4279058454,,,
-0.6253067194,0.8105218911,1.8354119289,,,
-0.6157242776,-2.162426039,0.3562357631,,,
-2.0673599897,1.1679034155,2.215492038,,,
1.0647459687,1.9541641911,0.0197273411,,,
-0.1288669415,0.6521161072,1.5059657711,,,
-0.4525171798,-0.8347817333,-1.1130708317,,,
0.0200862867,0.4150371094,2.1434045096,,,
0.4213793255,-0.778352628,-2.1513504107,,,
-1.0878312666,2.4413651687,-0.5756294559,,,
3.0902273875,0.6577062776,-0.5802962321,,,
0.0277330763,1.628654753,1.0913945078,,,
-1.5955390771,-0.2385191547,0.9105393447,,,
3.0244739842,0.1511307846,0.8491651909,,,
0.7429388981,-1.6872866999,0.7120245253,,,
-0.0669009525,1.9768849693,1.7445872731,,,
1.1135351069,-1.475858386,-0.3766701438,,,
